"vm_name","role","criticality","snapshot_present","recommended_wave"
"delta-web-01","web","medium","true","Wave 0"
"delta-utility-02","utility","low","false","Wave 1"
"delta-sql-03","sql","critical","false","Wave 3"
"delta-domain-04","domain","critical","false","Wave 3"
"delta-file-05","file","low","true","Wave 1"
"delta-erp-06","erp","critical","false","Wave 3"
"delta-monitoring-07","monitoring","low","false","Wave 0"
"delta-legacy-08","legacy","low","false","Wave 1"
"delta-web-09","web","low","true","Wave 1"
"delta-utility-10","utility","low","false","Wave 0"
"delta-sql-11","sql","critical","false","Wave 3"
"delta-domain-12","domain","critical","false","Wave 3"
"delta-file-13","file","low","true","Wave 0"
"delta-erp-14","erp","critical","false","Wave 3"
"delta-monitoring-15","monitoring","low","false","Wave 1"
"delta-legacy-16","legacy","medium","false","Wave 0"
